"Municipality","Code","Porcentage of population living with at most 1/2 minimum wage (%)","Employed population (%)","Natural forests (%)","Households with access to electric energy (%)","Planted or destined to harvest area (%)","Maximum capcacity of reservoirs (m^3)","Nature conservation unit demarcated area(%)"
"São Paulo do Potengi",2412559,0.477,0.1061,0.0015,0.9828,0.0585445137322542,23139587,0
"São Pedro",2412609,0.487,0.0664,0.1152,0.9471,0.0668370798802976,0,0
"São Rafael",2412708,0.528,0.0617,0.2205,0.9889,0.00107047836895065,0,0
"São Tomé",2412807,0.505,0.0626,0.701,0.9923,0.00301019437056604,0,0
"São Vicente",2412906,0.506,0.1204,0.3463,0.9865,0.0613990803782183,0,0
"Senador Elói de Souza",2413003,0.56,0.0803,0.0274,0.9887,0.0830495608367779,0,0
"Senador Georgino Avelino",2413102,0.48,0.0875,0.4762,0.9978,0.103373601249538,0,0.703782679108506
"Serra Caiada",2413201,0.524,0.088,0.226,0.9503,0.0433307762381934,0,0
"Serra de São Bento",2413300,0.54,0.0585,0.2112,0.9747,0.140983729913215,0,0
"Serra do Mel",2413359,0.506,0.102,0.1519,0.9706,0.520007960373431,0,0
"Serra Negra do Norte",2413409,0.463,0.1228,0.7946,0.9959,0.00354172751229949,0,0.0200652209475174
"Serrinha",2413508,0.516,0.0942,0.0587,0.949,0.0181185491494118,0,0
"Serrinha dos Pintos",2413557,0.513,0.0728,0.5112,0.9231,0.0336420091506265,0,0
"Severiano Melo",2413607,0.522,0.327,0.3349,0.9765,0.0921775021098969,7537478,0
"Sítio Novo",2413706,0.529,0.0584,0.4083,0.9882,0.00753941569060111,0,0
"Taboleiro Grande",2413805,0.495,0.1485,0.626,0.981,0.0230583082016263,0,0
"Taipu",2413904,0.5,0.0656,0.0791,0.9851,0.125392418437506,0,0
"Tangará",2414001,0.511,0.0825,0.2621,0.9601,0.00281344828279174,2377128,0
"Tenente Ananias",2414100,0.504,0.0624,0.6265,0.9852,0.00795547437197563,9639152,0
"Tenente Laurentino Cruz",2414159,0.488,0.1065,0.4208,0.9674,0.391480354395697,0,0
